House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
17,Walker Street,Vanessa,Smith,61,Head,Married,Female,Civil Service fast streamer,None,None
17,Walker Street,Ashley,Smith,63,Husband,Married,Male,Amenity horticulturist,None,None
17,Walker Street,Shaun,Wood,14,Grandson,NA,Male,Student,Unknown Infection,NA
17,Walker Street,Carole,Hardy,12,Granddaughter,NA,Female,Student,None,NA
18,Walker Street,Amanda,Long,49,Head,Married,Female,Land/geomatics surveyor,None,Catholic
18,Walker Street,Bruce,Long,51,Husband,Married,Male,Chief Operating Officer,None,None
18,Walker Street,Justin,Long,2,Son,NA,Male,Child,None,NA
18,Walker Street,Philip,Long,0,Son,NA,Male,Child,None,NA
18,Walker Street,Dominic,Long,0,Son,NA,Male,Child,None,NA
18,Walker Street,Paige,Stewart,59,Lodger,Single,Female,Animal technologist,None,Methodist
19,Walker Street,Maria,Burke,43,Head,Single,Female,"Engineer, civil (consulting)",None,Catholic
19,Walker Street,Denis,Whitehead,42,Partner,Single,Male,"Therapist, speech and language",None,Catholic
19,Walker Street,Fiona,Burke,15,Daughter,NA,Female,Student,None,NA
20,Walker Street,Donna,Farrell,83,Head,Married,Female,Retired Television camera operator,None,Catholic
20,Walker Street,Nicholas,Farrell,92,Husband,Married,Male,Retired Medical laboratory scientific officer,None,Catholic
21,Walker Street,Marian,Moore,18,Head,Single,Female,University Student,None,Christian
21,Walker Street,Hayley,Blake,19,None,Single,Female,University Student,None,Methodist
21,Walker Street,Vanessa,Armstrong,19,None,Single,Female,University Student,None,Christian
22,Walker Street,Frank,Atkins,30,Head,Widowed,Male,Unemployed,None,Catholic
23,Walker Street,Jodie,Palmer,37,Head,Single,Female,Unemployed,None,Catholic
23,Walker Street,Joseph,Palmer,9,Son,NA,Male,Student,None,NA
23,Walker Street,Eric,Palmer,5,Son,NA,Male,Student,None,NA
23,Walker Street,Abdul,Palmer,3,Son,NA,Male,Child,None,NA
24,Walker Street,Ashleigh,Schofield,52,Head,Divorced,Female,Dispensing optician,None,Methodist
24,Walker Street,James,Schofield,19,Son,Single,Male,University Student,None,None
24,Walker Street,Craig,Schofield,18,Son,Divorced,Male,Student,None,Methodist
25,Walker Street,Jemma,Cole,53,Head,Single,Female,Local government officer,None,Christian
25,Walker Street,Elliot,Coates,55,Partner,Single,Male,"Designer, textile",None,Christian
25,Walker Street,Carl,Cole,10,Son,NA,Male,Student,None,NA
26,Walker Street,Paula,Parsons,46,Head,Married,Female,Retail merchandiser,None,None
26,Walker Street,Owen,Parsons,52,Husband,Married,Male,Telecommunications researcher,None,None
27,Walker Street,Bethan,Simpson,25,Head,Widowed,Female,Unemployed,None,None
27,Walker Street,Albert,Simpson,1,Son,NA,Male,Child,None,NA
27,Walker Street,Norman,May,64,Lodger,Single,Male,Engineering geologist,None,Christian
28,Walker Street,Teresa,Burke,40,Head,Married,Female,Housing manager/officer,None,Christian
28,Walker Street,Charles,Burke,40,Husband,Married,Male,"Lighting technician, broadcasting/film/video",None,Christian
28,Walker Street,Tony,Burke,12,Son,NA,Male,Student,None,NA
28,Walker Street,Susan,Burke,12,Daughter,NA,Female,Student,None,NA
29,Walker Street,Lawrence,Barker,73,Head,Widowed,Male,Retired Seismic interpreter,None,None
30,Walker Street,Francesca,Walters,76,Head,Divorced,Female,Retired English as a second language teacher,None,Christian
30,Walker Street,Richard,Walters,41,Son,Divorced,Male,"Scientist, water quality",None,Christian
30,Walker Street,Luke,Cunningham-Walters,38,Son,Single,Male,Unemployed,None,None
31,Walker Street,Frances,Hunt,32,Head,Single,Female,Barrister's clerk,None,Methodist
31,Walker Street,Wendy,Hunt,6,Daughter,NA,Female,Student,None,NA
32,Walker Street,Katy,Bailey,79,Head,Married,Female,Retired Teaching laboratory technician,None,Christian
32,Walker Street,Darren,Bailey,79,Husband,Married,Male,Retired Actuary,None,Christian
32,Walker Street,Chelsea,Bailey,40,Daughter,Single,Female,"Accountant, chartered public finance",None,Christian
32,Walker Street,Gordon,Bailey,39,Son,Single,Male,"Engineer, drilling",None,Christian
33,Walker Street,Dale,Carr,49,Head,Single,Male,Glass blower/designer,None,None
33,Walker Street,Elaine,Richards,50,None,Single,Female,Geophysicist/field seismologist,None,None
33,Walker Street,Lee,Hunter,55,None,Single,Male,Personal assistant,None,Methodist
34,Walker Street,Jill,Harding,59,Head,Married,Female,Patent attorney,None,None
34,Walker Street,Ashley,Harding,58,Husband,Married,Male,Multimedia specialist,None,None
34,Walker Street,Gillian,Harding,29,Daughter,Single,Female,Higher education lecturer,None,None
34,Walker Street,Rosemary,Harding,17,Daughter,NA,Female,Student,None,NA
35,Walker Street,Maria,Bailey,45,Head,Single,Female,"Teacher, music",None,Catholic
35,Walker Street,Eleanor,Bailey,14,Daughter,NA,Female,Student,None,NA
35,Walker Street,Jason,Bailey,2,Son,NA,Male,Child,None,NA
35,Walker Street,Cheryl,Bailey,2,Daughter,NA,Female,Child,None,NA
36,Walker Street,Roger,Marshall,30,Head,Married,Male,Mining engineer,None,None
36,Walker Street,Kelly,Marshall,33,Wife,Married,Female,Art gallery manager,None,None
1,Whiterush Avenue,Mohammed,Cook,35,Head,Single,Male,"Engineer, maintenance",None,Catholic
1,Whiterush Avenue,Ann,Thomas,28,Partner,Single,Female,Child psychotherapist,None,None
2,Whiterush Avenue,Guy,Cooper,83,Head,Widowed,Male,Retired Jewellery designer,None,Christian
3,Whiterush Avenue,Jill,Payne,37,Head,Single,Female,"Administrator, charities/voluntary organisations",None,Methodist
4,Whiterush Avenue,Louis,Holmes,42,Head,Single,Male,Manufacturing engineer,None,Christian
5,Whiterush Avenue,Judith,Pearce-Baker,18,Head,Married,Female,Student,None,NA
5,Whiterush Avenue,Victor,Pearce-Baker,21,Husband,Married,Male,University Student,None,NA
6,Whiterush Avenue,Arthur,Turner,28,Head,Single,Male,Automotive engineer,None,Catholic
7,Whiterush Avenue,Vanessa,Jenkins,54,Head,Single,Female,Restaurant manager,None,None
7,Whiterush Avenue,Brian,Brown,55,Partner,Single,Male,Unemployed,None,None
8,Whiterush Avenue,Colin,O'Neill,18,Head,Single,Male,Student,None,NA
9,Whiterush Avenue,Linda,King,42,Head,Married,Female,Medical secretary,None,None
9,Whiterush Avenue,Ashley,King,42,Husband,Married,Male,Charity fundraiser,None,None
9,Whiterush Avenue,Elaine,King,13,Daughter,NA,Female,Student,None,NA
10,Whiterush Avenue,Melanie,Wood,72,Head,Widowed,Female,Retired Financial trader,None,Christian
11,Whiterush Avenue,Charlie,Harvey,67,Head,Widowed,Male,Health and safety inspector,None,Muslim
12,Whiterush Avenue,Jeffrey,Watson,65,Head,Married,Male,Interpreter,None,None
12,Whiterush Avenue,Caroline,Watson,64,Wife,Married,Female,Trading standards officer,None,None
12,Whiterush Avenue,Neil,Watson,37,Son,Divorced,Male,Volunteer coordinator,None,None
13,Whiterush Avenue,Joe,Barnes,73,Head,Married,Male,Retired Public relations officer,None,Christian
13,Whiterush Avenue,Tina,Robertson,72,Wife,Married,Female,Retired Animator,None,Christian
14,Whiterush Avenue,Neil,Waters,66,Head,Married,Male,Homeopath,None,Methodist
14,Whiterush Avenue,Jemma,Waters,64,Wife,Married,Female,Unemployed,None,Methodist
14,Whiterush Avenue,Janice,Waters,35,Daughter,Single,Female,Barista,None,Methodist
14,Whiterush Avenue,Craig,Waters,27,Son,Single,Male,Scientific laboratory technician,None,Methodist
15,Whiterush Avenue,Elizabeth,Simpson,74,Head,Widowed,Female,Retired Hospital doctor,None,Christian
1,Wallis Avenue,Katie,Austin,25,Head,Single,Female,Estate agent,None,Sikh
1,Wallis Avenue,Brian,Austin-Brown,29,Partner,Single,Male,Special educational needs teacher,None,Sikh
1,Wallis Avenue,Victor,Watson,39,Lodger,Single,Male,Ambulance person,None,None
1,Wallis Avenue,Guy,Smith,20,Lodger,Divorced,Male,University Student,None,Muslim
1,Wallis Avenue,Barry,Leonard,35,Lodger,Divorced,Male,Systems analyst,None,None
2,Wallis Avenue,Marion,Taylor,40,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
2,Wallis Avenue,Anthony,Taylor,42,Husband,Married,Male,Environmental consultant,None,None
2,Wallis Avenue,Pamela,Taylor,7,Daughter,NA,Female,Student,None,NA
3,Wallis Avenue,Andrea,Murphy,61,Head,Married,Female,Legal secretary,None,Christian
3,Wallis Avenue,Jake,Murphy,66,Husband,Married,Male,"Administrator, Civil Service",None,Christian
3,Wallis Avenue,Keith,Murphy,36,Son,Single,Male,Secretary/administrator,None,Christian
3,Wallis Avenue,Abigail,Murphy,29,Daughter,Divorced,Female,Learning mentor,None,Christian
3,Wallis Avenue,Owen,Murphy,26,Son,Single,Male,Unemployed,None,None
4,Wallis Avenue,Teresa,Williams,53,Head,Single,Female,Arts administrator,None,Methodist
5,Wallis Avenue,Lauren,Douglas,39,Head,Married,Female,Medical technical officer,None,Christian
5,Wallis Avenue,Victor,Douglas,42,Husband,Married,Male,Unemployed,None,None
5,Wallis Avenue,Damian,Douglas,17,Son,NA,Male,Student,None,NA
5,Wallis Avenue,Lewis,Douglas,14,Son,NA,Male,Student,None,NA
5,Wallis Avenue,Nicole,Douglas,10,Daughter,NA,Female,Student,None,NA
5,Wallis Avenue,Donna,Douglas,7,Daughter,NA,Female,Student,None,NA
6,Wallis Avenue,Marion,Haynes,39,Head,Married,Female,Diplomatic Services operational officer,None,None
6,Wallis Avenue,Bryan,Haynes,45,Husband,Married,Male,Warehouse manager,None,None
6,Wallis Avenue,Lynda,Haynes,8,Daughter,NA,Female,Student,None,NA
7,Wallis Avenue,Gemma,Campbell,38,Head,Single,Female,Unemployed,None,None
7,Wallis Avenue,Peter,Austin,37,Partner,Single,Male,"Scientist, research (life sciences)",None,None
8,Wallis Avenue,Naomi,Grant,83,Head,Married,Female,"Retired Radiographer, diagnostic",None,Christian
8,Wallis Avenue,Kieran,Grant,80,Husband,Married,Male,Retired Financial trader,None,None
9,Wallis Avenue,Scott,Watkins-Lambert,75,Head,Married,Male,"Retired Engineer, automotive",None,Catholic
9,Wallis Avenue,Stacey,Watkins-Lambert,71,Wife,Married,Female,Unemployed,None,Catholic
9,Wallis Avenue,Steven,Watkins-Lambert,6,Grandson,NA,Male,Student,None,NA
10,Wallis Avenue,Sheila,Abbott,60,Head,Married,Female,Proofreader,None,None
10,Wallis Avenue,Damien,Abbott,65,Husband,Married,Male,Industrial buyer,None,None
10,Wallis Avenue,Katherine,Abbott,32,Daughter,Divorced,Female,Geographical information systems officer,None,None
10,Wallis Avenue,Scott,Abbott,29,Son,Single,Male,Public relations officer,None,None
10,Wallis Avenue,Ellie,Abbott,21,Daughter,Single,Female,University Student,None,None
11,Wallis Avenue,Harriet,Slater,46,Head,Married,Female,"Buyer, industrial",None,None
11,Wallis Avenue,Russell,Slater,48,Husband,Married,Male,Structural engineer,None,None
11,Wallis Avenue,Stanley,Slater,15,Son,NA,Male,Student,None,NA
12,Wallis Avenue,Oliver,Nelson,73,Head,Widowed,Male,Retired Insurance broker,None,Methodist
13,Wallis Avenue,James,Marshall,27,Head,Single,Male,Learning disability nurse,None,None
13,Wallis Avenue,Dawn,Lewis,57,None,Single,Female,Sports coach,None,None
13,Wallis Avenue,Shaun,Vincent,30,None,Single,Male,Research scientist (life sciences),None,Methodist
13,Wallis Avenue,Pauline,Roberts,58,None,Single,Female,"Psychologist, prison and probation services",None,Catholic
13,Wallis Avenue,Kieran,Khan,47,None,Single,Male,Pharmacologist,None,None
14,Wallis Avenue,Suzanne,Walker,33,Head,Divorced,Female,"Designer, blown glass/stained glass",None,None
14,Wallis Avenue,Diane,Glover,57,Lodger,Divorced,Female,Personal assistant,None,Catholic
14,Wallis Avenue,Josephine,Smith,33,Lodger,Single,Female,Unemployed,None,None
14,Wallis Avenue,Danny,Bell,24,Lodger,Single,Male,"Scientist, research (maths)",None,Muslim
15,Wallis Avenue,Irene,Burke,33,Head,Married,Female,"Radiographer, therapeutic",None,None
15,Wallis Avenue,Antony,Burke,35,Husband,Married,Male,"Engineer, civil (consulting)",None,None
15,Wallis Avenue,Steven,Burke,3,Son,NA,Male,Child,None,NA
16,Wallis Avenue,Denis,Watson,29,Head,Single,Male,Clinical cytogeneticist,None,None
16,Wallis Avenue,Nicole,Johnson,23,Partner,Single,Female,Outdoor activities/education manager,None,None
17,Wallis Avenue,Grace,Townsend,37,Head,Divorced,Female,Unemployed,None,None
17,Wallis Avenue,Vanessa,Townsend,3,Daughter,NA,Female,Child,None,NA
18,Wallis Avenue,Mandy,Matthews,42,Head,Divorced,Female,Camera operator,None,Methodist
18,Wallis Avenue,Carol,Matthews,7,Daughter,NA,Female,Student,None,NA
19,Wallis Avenue,Nicole,Wright,19,Head,Single,Female,University Student,None,Christian
19,Wallis Avenue,Julian,Cooper,19,None,Single,Male,University Student,None,Jewish
20,Wallis Avenue,Clare,Jones,44,Head,Married,Female,"Programmer, multimedia",None,Christian
20,Wallis Avenue,Shane,Jones,45,Husband,Married,Male,"Accountant, chartered management",None,Christian
20,Wallis Avenue,Matthew,Jones,4,Son,NA,Male,Child,None,NA
20,Wallis Avenue,Sam,Jones,1,Son,NA,Male,Child,None,NA
21,Wallis Avenue,Shirley,Jackson,37,Head,Married,Female,"Therapist, occupational",None,Catholic
21,Wallis Avenue,Garry,Jackson,41,Husband,Married,Male,Unemployed,None,None
21,Wallis Avenue,Glen,Jackson,16,Son,NA,Male,Student,Mental Disability,NA
21,Wallis Avenue,Billy,Jackson,11,Son,NA,Male,Student,None,NA
21,Wallis Avenue,Cheryl,Jackson,10,Daughter,NA,Female,Student,None,NA
22,Wallis Avenue,Beth,Smith,42,Head,Married,Female,"Therapist, nutritional",None,Christian
22,Wallis Avenue,Anthony,Smith,40,Husband,Married,Male,"Conservator, furniture",None,Christian
23,Wallis Avenue,Natalie,Marshall,35,Head,Single,Female,Pharmacologist,None,None
23,Wallis Avenue,Joseph,Atkinson,34,Partner,Single,Male,Unemployed,None,None
23,Wallis Avenue,Damien,Khan,22,Lodger,Divorced,Male,University Student,None,None
23,Wallis Avenue,Sylvia,Payne,18,Lodger,Divorced,Female,Student,None,NA
24,Wallis Avenue,Craig,Thomas,61,Head,Married,Male,"Designer, multimedia",None,Christian
24,Wallis Avenue,Lauren,Thomas,58,Wife,Married,Female,"Accountant, chartered management",None,None
24,Wallis Avenue,Louise,Chapman,25,None,Married,Female,"Chemist, analytical",None,Catholic
24,Wallis Avenue,Alexander,Chapman,25,None,Married,Male,Best boy,None,Catholic
25,Wallis Avenue,Reece,Rice,42,Head,Single,Male,Recycling officer,None,Christian
25,Wallis Avenue,Francesca,Carey,39,Partner,Single,Female,"Editor, magazine features",None,None
26,Wallis Avenue,Albert,Andrews,60,Head,Divorced,Male,Unemployed,None,Methodist
26,Wallis Avenue,Sara,Andrews,9,Granddaughter,NA,Female,Student,None,NA
27,Wallis Avenue,Suzanne,John,46,Head,Divorced,Female,Charity officer,None,Methodist
27,Wallis Avenue,Holly,Brooks,4,Neice,NA,Female,Child,None,NA
28,Wallis Avenue,Suzanne,Phillips,77,Head,Married,Female,Unemployed,None,Christian
28,Wallis Avenue,Trevor,Phillips,76,Husband,Married,Male,Retired Herpetologist,None,Christian
28,Wallis Avenue,Josh,Phillips,50,Son,Single,Male,Seismic interpreter,None,Christian
28,Wallis Avenue,Bethan,Phillips,50,Daughter,Single,Female,"Pilot, airline",None,None
29,Wallis Avenue,Carole,Hayes,62,Head,Single,Female,Media buyer,None,None
29,Wallis Avenue,Gillian,Jones,52,None,Single,Female,Research scientist (maths),None,Methodist
29,Wallis Avenue,Gary,Gardiner,55,None,Single,Male,Insurance claims handler,None,Christian
30,Wallis Avenue,Frederick,Smith,31,Head,Married,Male,Environmental manager,None,None
30,Wallis Avenue,Amber,Smith,31,Wife,Married,Female,Printmaker,None,None
31,Wallis Avenue,Kate,Bradshaw,55,Head,Married,Female,Homeopath,None,Christian
31,Wallis Avenue,Adam,Bradshaw,55,Husband,Married,Male,Adult guidance worker,None,Christian
32,Wallis Avenue,Hannah,Stevenson,29,Head,Married,Female,"Scientist, research (life sciences)",None,Catholic
32,Wallis Avenue,Declan,Stevenson,29,Husband,Married,Male,Unemployed,None,None
32,Wallis Avenue,Rita,Stevenson,6,Daughter,NA,Female,Student,None,NA
33,Wallis Avenue,Grace,Chambers,20,Head,Single,Female,Unemployed,None,Muslim
33,Wallis Avenue,Rosie,Chambers,3,Daughter,NA,Female,Child,None,NA
33,Wallis Avenue,Karen,Stephens,19,Lodger,Single,Female,University Student,None,Methodist
33,Wallis Avenue,Joel,Walton,28,Cousin,Divorced,Male,Diagnostic radiographer,None,Christian
33,Wallis Avenue,Diane,Lambert,46,Sibling,Single,Female,Control and instrumentation engineer,None,None
34,Wallis Avenue,Bryan,Phillips,89,Head,Married,Male,Retired Printmaker,None,Christian
34,Wallis Avenue,Emily,Phillips,87,Wife,Married,Female,"Retired Administrator, arts",None,None
35,Wallis Avenue,Kenneth,Warren-Thomas,80,Head,Married,Male,Retired Colour technologist,None,Christian
35,Wallis Avenue,Georgia,Warren-Thomas,80,Wife,Married,Female,Retired English as a foreign language teacher,None,Christian
36,Wallis Avenue,Teresa,Taylor,96,Head,Married,Female,Retired Research scientist (maths),None,None
36,Wallis Avenue,Karl,Taylor,98,Husband,Married,Male,Retired Special educational needs teacher,None,None
37,Wallis Avenue,Sylvia,Brennan,55,Head,Divorced,Female,"Presenter, broadcasting",None,None
37,Wallis Avenue,Carole,Brennan,39,Daughter,Single,Female,"Horticulturist, amenity",None,None
38,Wallis Avenue,Bernard,Smart,28,Head,Single,Male,Sales promotion account executive,None,Methodist
39,Wallis Avenue,Kayleigh,Hodgson,34,Head,Married,Female,Museum/gallery curator,None,Methodist
39,Wallis Avenue,Simon,Hodgson,39,Husband,Married,Male,Transport planner,None,None
39,Wallis Avenue,Harry,Hodgson,0,Son,NA,Male,Child,None,NA
40,Wallis Avenue,Ben,Cooper,32,Head,Single,Male,Medical illustrator,None,None
40,Wallis Avenue,Alison,Hill,31,Partner,Single,Female,Production engineer,None,None
41,Wallis Avenue,Kyle,Harris,40,Head,Single,Male,Applications developer,None,Muslim
42,Wallis Avenue,Kim,McLean,40,Head,Married,Female,Further education lecturer,None,None
42,Wallis Avenue,Norman,McLean,45,Husband,Married,Male,Public relations account executive,None,None
42,Wallis Avenue,Ben,McLean,12,Son,NA,Male,Student,None,NA
42,Wallis Avenue,Phillip,McLean,11,Son,NA,Male,Student,None,NA
43,Wallis Avenue,Victoria,Brown,23,Head,Married,Female,Research scientist (medical),None,Christian
43,Wallis Avenue,Shane,Brown,24,Husband,Married,Male,Licensed conveyancer,None,Christian
44,Wallis Avenue,Lydia,Steele,68,Head,Widowed,Female,Unemployed,None,Christian
44,Wallis Avenue,Marcus,Steele,41,Son,Single,Male,"Designer, furniture",None,Christian
44,Wallis Avenue,Mark,Steele,37,Son,Divorced,Male,Control and instrumentation engineer,None,Christian
44,Wallis Avenue,Josh,Steele,33,Son,Single,Male,"Surveyor, minerals",None,Christian
44,Wallis Avenue,Michael,Steele,30,Son,Single,Male,Passenger transport manager,None,None
45,Wallis Avenue,Grace,Moore,48,Head,Single,Female,Risk manager,None,Methodist
45,Wallis Avenue,Adam,McLean,54,None,Single,Male,IT sales professional,None,None
46,Wallis Avenue,Kirsty,Gould,33,Head,Widowed,Female,Unemployed,None,Sith
46,Wallis Avenue,Mohammed,Gould,8,Son,NA,Male,Student,None,NA
47,Wallis Avenue,Adam,Murphy,73,Head,Widowed,Male,"Retired Engineer, agricultural",None,Christian
47,Wallis Avenue,Dale,Roberts,13,Grandson,NA,Male,Student,None,NA
48,Wallis Avenue,Katy,Ward,70,Head,Divorced,Female,Retired Herpetologist,None,Christian
48,Wallis Avenue,Benjamin,Ward,34,Son,Single,Male,"Teacher, music",None,Christian
48,Wallis Avenue,Donald,Ward,30,Son,Single,Male,Drilling engineer,None,Christian
48,Wallis Avenue,Julie,Ward,29,Daughter,Single,Female,Accounting technician,None,Christian
48,Wallis Avenue,Samuel,Ward,27,Son,Single,Male,Sales executive,None,None
49,Wallis Avenue,Hugh,Allen,37,Head,Single,Male,Forest/woodland manager,None,Catholic
49,Wallis Avenue,Frank,Allen,41,Cousin,Single,Male,Tourist information centre manager,None,Catholic
50,Wallis Avenue,Philip,Cartwright,53,Head,Married,Male,Television camera operator,None,None
50,Wallis Avenue,Kayleigh,Cartwright,44,Wife,Married,Female,Architect,None,None
51,Wallis Avenue,Shirley,Matthews,53,Head,Married,Female,"Lighting technician, broadcasting/film/video",None,None
51,Wallis Avenue,Joseph,Matthews,55,Husband,Married,Male,Sports development officer,None,None
51,Wallis Avenue,Joshua,Matthews,22,Son,Single,Male,University Student,None,None
52,Wallis Avenue,Claire,Jones,42,Head,Married,Female,Aid worker,None,Catholic
52,Wallis Avenue,Karl,Jones,48,Husband,Married,Male,Analytical chemist,None,None
52,Wallis Avenue,Jade,Jones,15,Daughter,NA,Female,Student,None,NA
53,Wallis Avenue,Robert,Atkins,66,Head,Married,Male,"Geneticist, molecular",None,Methodist
53,Wallis Avenue,Nicole,Atkins,63,Wife,Married,Female,Colour technologist,None,None
54,Wallis Avenue,Alexandra,Pearson,79,Head,Married,Female,Retired English as a foreign language teacher,None,Catholic
54,Wallis Avenue,Alex,Pearson,81,Husband,Married,Male,Retired International aid/development worker,None,Catholic
55,Wallis Avenue,Jessica,Anderson,20,Head,Single,Female,University Student,None,Methodist
56,Wallis Avenue,Clare,Harris,64,Head,Widowed,Female,"Scientist, biomedical",None,Catholic
57,Wallis Avenue,Damian,Hamilton,29,Head,Divorced,Male,"Radiographer, diagnostic",None,None
58,Wallis Avenue,Kyle,Chapman,67,Head,Married,Male,Unemployed,None,Methodist
58,Wallis Avenue,Sarah,Chapman,58,Wife,Married,Female,Forensic psychologist,None,None
58,Wallis Avenue,James,West,17,Grandson,NA,Male,Student,None,NA
1,Thompson Stream,Danielle,Clark,36,Head,Single,Female,"Engineer, maintenance",None,Muslim
2,Thompson Stream,Mitchell,Collier,28,Head,Single,Male,"Journalist, broadcasting",None,Methodist
2,Thompson Stream,June,Jones,29,Partner,Single,Female,Soil scientist,None,Methodist
3,Thompson Stream,Amy,Davies,70,Head,Married,Female,Retired Sports development officer,None,Methodist
3,Thompson Stream,Billy,Davies,76,Husband,Married,Male,Retired Social researcher,None,Methodist
4,Thompson Stream,Amelia,Welch,36,Head,Single,Female,Unemployed,None,None
4,Thompson Stream,Arthur,Welch,4,Son,NA,Male,Child,None,NA
4,Thompson Stream,Aimee,Khan,37,Lodger,Single,Female,Chiropractor,None,Christian
5,Thompson Stream,Holly,Thompson,52,Head,Married,Female,Educational psychologist,None,Christian
5,Thompson Stream,Nicholas,Thompson-Welch,54,Husband,Married,Male,Lobbyist,None,Christian
5,Thompson Stream,Janice,Thompson-Welch,30,Daughter,Single,Female,Radiation protection practitioner,None,Christian
5,Thompson Stream,Daniel,Thompson-Welch,30,Son,Single,Male,Multimedia programmer,None,Christian
5,Thompson Stream,Connor,Thompson-Welch,26,Son,Single,Male,Sports administrator,None,Christian
6,Thompson Stream,Simon,Potts,32,Head,Single,Male,Retail merchandiser,None,Methodist
6,Thompson Stream,Rhys,Harding,43,Cousin,Single,Male,Marketing executive,None,Methodist
6,Thompson Stream,Iain,Harding,30,Cousin,Single,Male,Unemployed,None,None
7,Thompson Stream,Abigail,Leach,84,Head,Widowed,Female,"Retired Journalist, broadcasting",None,Christian
1,Albion Tunnel,Tracey,Arnold,56,Head,Divorced,Female,"Horticulturist, amenity",None,Christian
2,Albion Tunnel,Harriet,Lees,49,Head,Divorced,Female,Actor,None,Methodist
2,Albion Tunnel,Geoffrey,Lees,18,Son,Single,Male,Student,None,None
2,Albion Tunnel,Matthew,Lees,16,Son,NA,Male,Student,None,NA
3,Albion Tunnel,Richard,Wilson,26,Head,Single,Male,"Optician, dispensing",None,Methodist
4,Albion Tunnel,Mohammad,Dunn,33,Head,Divorced,Male,Speech and language therapist,None,Christian
4,Albion Tunnel,Ruth,Dunn,4,Step-Daughter,NA,Female,Child,None,NA
5,Albion Tunnel,Clifford,Davies,40,Head,Single,Male,Scientific laboratory technician,None,Christian
6,Albion Tunnel,Martyn,Davies,80,Head,Married,Male,Retired Lawyer,None,Christian
6,Albion Tunnel,Helen,Davies,74,Wife,Married,Female,Retired Biomedical engineer,None,Christian
7,Albion Tunnel,Conor,Hayes,82,Head,Single,Male,Unemployed,None,Methodist
8,Albion Tunnel,Hazel,Jackson,57,Head,Married,Female,Volunteer coordinator,None,Christian
8,Albion Tunnel,Wayne,Jackson,56,Husband,Married,Male,Comptroller,None,None
8,Albion Tunnel,Rita,Jackson,23,Daughter,Single,Female,Unemployed,None,None
9,Albion Tunnel,Abbie,Dale,64,Head,Married,Female,"Administrator, local government",None,Muslim
9,Albion Tunnel,Garry,Dale,66,Husband,Married,Male,Financial risk analyst,None,Muslim
9,Albion Tunnel,Steven,Phillips-Dale,16,Grandson,NA,Male,Student,None,NA
10,Albion Tunnel,Holly,Jarvis,49,Head,Single,Female,Osteopath,None,Christian
11,Albion Tunnel,Guy,Jones,48,Head,Single,Male,Sales executive,None,Christian
12,Albion Tunnel,Kim,Murphy,30,Head,Single,Female,Research scientist (life sciences),None,None
13,Albion Tunnel,Stephanie,Scott,30,Head,Married,Female,Unemployed,None,None
13,Albion Tunnel,Allan,Scott,35,Husband,Married,Male,Claims inspector/assessor,None,None
14,Albion Tunnel,Barbara,Howard,65,Head,Widowed,Female,Careers adviser,None,Methodist
15,Albion Tunnel,Mandy,Holmes,29,Head,Single,Female,Chartered certified accountant,None,Catholic
16,Albion Tunnel,Kim,Spencer,32,Head,Married,Female,"Designer, exhibition/display",None,None
16,Albion Tunnel,Barry,Spencer,38,Husband,Married,Male,"Research officer, government",None,None
17,Albion Tunnel,Simon,Bray,58,Head,Divorced,Male,Leisure centre manager,None,Catholic
17,Albion Tunnel,Katie,Mitchell,15,Granddaughter,NA,Female,Student,None,NA
17,Albion Tunnel,Dennis,Jones,12,Grandson,NA,Male,Student,None,NA
18,Albion Tunnel,Jacob,Patel,73,Head,Widowed,Male,Retired Press photographer,None,Catholic
19,Albion Tunnel,Anna,Hughes,18,Head,Single,Female,University Student,None,None
19,Albion Tunnel,Karen,Saunders,20,None,Single,Female,University Student,None,Christian
19,Albion Tunnel,Kevin,Heath,21,None,Single,Male,University Student,None,Catholic
20,Albion Tunnel,Judith,Taylor,42,Head,Married,Female,Water engineer,None,None
20,Albion Tunnel,Brett,Taylor,42,Husband,Married,Male,Theatre manager,None,None
20,Albion Tunnel,Anne,Taylor,16,Daughter,NA,Female,Student,None,NA
21,Albion Tunnel,Callum,Marsh,35,Head,Divorced,Male,Politician's assistant,None,Christian
22,Albion Tunnel,Jodie,Saunders,75,Head,Divorced,Female,"Retired Scientist, research (medical)",None,Christian
23,Albion Tunnel,Zoe,Robinson,105,Head,Married,Female,Retired Marketing executive,None,Christian
23,Albion Tunnel,Billy,Robinson,108,Husband,Married,Male,"Retired Surveyor, planning and development",None,Christian
24,Albion Tunnel,Charlotte,Jenkins,66,Head,Widowed,Female,Fitness centre manager,None,None
25,Albion Tunnel,David,Parsons,36,Head,Single,Male,Trade union research officer,None,Jewish
26,Albion Tunnel,Janet,Lane,66,Head,Divorced,Female,Best boy,None,Catholic
27,Albion Tunnel,Samantha,Matthews,34,Head,Married,Female,Teaching laboratory technician,None,None
27,Albion Tunnel,Damian,Matthews,33,Husband,Married,Male,Paediatric nurse,None,None
27,Albion Tunnel,Deborah,Matthews,5,Daughter,NA,Female,Student,None,NA
28,Albion Tunnel,Alexandra,Edwards,18,Head,Divorced,Female,Student,None,NA
